STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490512,317,128
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490513,339,156
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490514,261,150
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490515,239,128
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490516,239,133
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490517,233,144
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490518,222,128
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490519,233,106
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490520,256,78
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490521,289,111
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490522,317,133
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490523,361,150
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490524,378,161
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490525,383,156
GHCND:USW00023169,LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT NV US,19490526,372,206
